page_number,directions,ingredients,prep_time_minutes,ready_in_minutes
54,"1. Preheat the oven to 350°F/177°C. Place liners in a muffin tin and
spray them with cooking spray.
2. In a bowl, mix all the dry ingredients together well.
3. In a separate bowl or a stand mixer, whip together the rest of
the ingredients until smooth. Add the dry ingredients to the wet
ingredients and mix until well mixed.
4. Fill the muffin liners about ¾ of the way full with the batter. Bake
the muffins in the oven for 20 minutes or until a toothpick comes
out clean when you prick the muffins.
5. Remove the muffins from the oven and allow to cool for 20
minutes before serving.","M A K E S  1 0  M U F F I N S
100g (3 scoops) chocolate whey 
protein powder
330g banana
180g (¾ cup) egg whites
125g (~½ cup) 0% fat Greek yogurt
80g (~⅔ cup) oat flour
25g (5 tbsp) cocoa powder
75g sugar-free chocolate chips
180ml (¾ cup) Stevia
30ml (2 tbsp) hot water
8g (2 tsp) baking powder
½ tsp Kosher salt
5g (1 tsp) vanilla extract
Chocolate Banana Muffins",15,45
55,"1. Pre-heat the oven to 176°C (350°F).
2. Blend all ingredients in a blender until there is a smooth batter.
3. Add the mixture into a muffin pan or a regular baking pan. Be
sure to spray the pan with cooking spray before adding the batter.
4. Bake at 176°C (350°F) for 20-25 minutes or until you can stick a
toothpick into the muffin and the toothpick comes out clean.
5. While the muffins are baking, prepare the frosting by mixing the
Greek yogurt and powdered peanut butter.
6. Remove the muffins from the oven and let sit to cool completely
to firm up.
7. Apply the frosting to each muffin if desired and serve.",,10,40
56,"1. Preheat the oven to 350°F (177°C). Place cupcake liners in a
muffin tin and spray them with cooking spray.
2. In a large bowl, mix all the dry ingredients together well. In a
separate bowl, mix all the rest of the ingredients together. Add
the wet ingredients to the dry ingredient and mix well until
everything is incorporated.
3. Fill the cupcake liners about ¾ full of the batter. Bake in the oven
for 20 minutes or until a toothpick comes out clean.
4. Remove from the oven and allow to cool down for at least 20
minutes before serving.",,15,40
58,"1. Preheat the oven to 350°F (177°C). Place liners in a muffin
tin and spray them with cooking spray.
2. In a bowl, mix all the dry ingredients together well. In a
separate bowl or a stand mixer, whip together the rest of
the ingredients until smooth. Add the dry ingredients to
the wet ingredients and mix until incorporated. Fold in the
strawberries and peaches and mix gently with a spoon until
mixed.
3. Fill the muffin liners about ¾ of the way full with the batter.
Bake the muffins in the oven for 25 minutes or until a
toothpick comes out clean when you prick the muffins.
4. While the muffins are in the oven, place the frosting
ingredients in a bowl and mix with a fork until well-blended.
5. Remove the muffins from the oven and allow to cool for 15
minutes before placing the icing on top and serving.","M A K E S  1 0  M U F F I N S
285g (1¼ cup) 0% fat Greek yogurt
180g (¾ cup) egg whites
30ml (2 tbsp) unsweetened almond milk
45ml (3 tbsp) unsweetened applesauce
2 packets (or 4 tsp) sweetener
5g (1 tsp) vanilla extract
160g (~1⅓ cups) oat flour
33g (1 scoop) vanilla whey protein 
powder
2.5g (½ tsp) baking powder
2g (½ tsp) baking soda
40g fresh strawberries, slices
40g fresh peaches, chopped
F R O S T I N G :
30ml (2 tbsp) Swerve 0-Calorie Icing 
sugar
8ml (½ tbsp) unsweetened almond milk",20,60
59,"1. Preheat the oven to 350°F (177°C). Place liners in a muffin tin and
spray them with cooking spray.
2. In a bowl, mix all the dry ingredients together well. In a separate
bowl or a stand mixer, whip together the rest of the ingredients
until smooth. Add the dry ingredients to the wet ingredients and
mix until well mixed.
3. If you don’t want to get a bicep pump from mixing the ingredients
manually, you may use a blender. First, put all of the dry
ingredients in the blender, and pulse on high until there is an
even, powdery consistency. Then, add the wet ingredients and
pulse on medium until the batter is smooth and consistent.
4. Fill the muffin liners about ¾ of the way full with the batter. Bake
the muffins in the oven for 20-25 minutes or until a toothpick
comes out clean when you prick the muffins.
5. Remove the muffins from the oven and allow to cool for 20
minutes before serving.
6. OPTIONAL: If you wish to add frosting, simply mix the Greek
yogurt with powdered peanut butter in a bowl, and then add a
dollop to the top of each muffin.","M A K E S  4  M U F F I N S 
350g (~1½ cup) 0% fat Greek 
yogurt
220g ripe banana (mashed)
48g (½ cup) powdered peanut 
butter (PB2)
150g (1¼ cup) oat flour
66g (2 scoops) chocolate peanut 
butter protein powder
8g (2 tsp) baking powder
F R O S T I N G : 
125g (~½ cup) 0% fat Greek yogurt
30g (5 tbsp) powdered peanut 
butter (PB2)",10,45
62,"1. Prep: grill chicken breast/ground turkey/ground beef/steak/etc.
with salt & pepper to taste and set aside & refrigerate until you 
are ready to make your quesadilla.
2. Pre-heat the oven to 375°F (190°C). You may also pre-heat a
toaster oven if you have that available in your kitchen.
3. Add aluminum foil to a baking sheet and spray with cooking
spray. Lay one tortilla flat on the piece of aluminum foil. Spread
the veggies, cheese, and meat/poultry evenly on top of the
tortilla. Add the 2nd tortilla on top, like a sandwich.
4. For the light version, you will want to fold the tortilla, so make
sure the ingredients only take up half of the tortilla.
5. Place the quesadilla in the oven or toaster oven for 5-10 minutes,
or until it has reached desired warmth and doneness.
6. Remove the quesadilla from the oven/toaster oven and place on
a plate. Slice like a pizza so you can easily eat it with your hands.
Serve with fat-free sour cream and salsa for dipping sauce.","M A K E S  1  Q U E S A D I L L A
60g chicken breast, boneless and 
skinless OR 50g extra-lean ground 
turkey OR 40g extra-lean ground 
beef/steak (measured cooked)
2 low-carb high-fiber tortillas (70 
calories per tortilla)
2 slices fat-free cheese or 38g fat-
free shredded cheese (60 calories)
½ serving veggies (peppers / onions 
/ jalapenos / mushrooms)
40g (3 tbsp) of your favorite salsa
30g (2 tbsp) fat-free sour cream
Salt & pepper to taste
Delicious Quesadilla
D I F F I C U L T Y
EASY",15,20
63,"1. You will need skewers for this recipe. If you are using wooden
skewers, make sure to soak them in water for 10 minutes before 
placing the chicken on them.
2. Place two or three chicken chunks on each of the skewers until
the chicken is used up. Heat the grill to medium high and
cook the chicken on the skewers till fully cooked or the internal
temperature of the chicken is 165°F/74°C. Remove from the grill
and allow to rest for a few minutes.
3. In a small bowl, mix the soy sauce, peanut butter powder and
chili paste together well. Take the cooked chicken skewers and
coat them in the sauce mixture by either brushing them with it or
rolling them in the sauce to coat them completely.
4. Transfer the sauced chicken skewers to a plate and sprinkle with
the shredded carrots, cilantro and green onions. One entire batch
makes 6 small portions. Serve and enjoy!","M A K E S  6  S E R V I N G S
670g (24 oz) raw, boneless and 
skinless chicken breast, cut in 
5cm/2” chunks
375g carrots, shredded
100g green onion, chopped
20g fresh cilantro, chopped 
(optional)
90g (⅓ cup) chili paste
84g (~7/8 cup) peanut butter 
powder
240ml (1 cup) light soy sauce
Grilled Spicy Peanut 
Chicken Satay Skewers
Chicken satays with peanut sauce are a very common dish in Thailand that have made their way around to appetizer 
plates around the world! Make sure you have skewers handy to cook this delicious chicken recipe with peanut flavor. I 
know I advertise that my lifestyle has no chicken and broccoli, but this recipe is different because it’s mouth-watering. 
Chicken can be mouth-watering when you incorporate spicy and peanut flavors. You will be able to enjoy this recipe 
with yourself as well as with guests.
D I F F I C U L T Y
MEDIUM",15,30
65,"1. Slice an avocado into cubes. Dice tomatos, onions, and jalapenos.
Place all in one bowl and mash with a spoon or a pestel. Add
lime, salt and pepper to taste.
2. Place Flatout ProteinUP wrap on a baking sheet. Slice wrap into
tortilla chip-sized squares. Put in toaster oven for 3 minutes until
the pieces are crispy like tortilla chips.
3. Serve together as an appetizer or as a delicious healthy snack.","M A K E S  1  S E R V I N G
1 Flatout Protein UP Flatbread or 
protein flatbread of choice (110 
calories)
Guacamole - 50g avocado, 25g 
tomato, 25g onions, 25g jalapenos
1 tbsp fresh lime juice
Salt and pepper",5,5
67,"1. Lay the tortilla wrap out flat and spread the cream cheese around
to cover it. Next, cover the whole tortilla with the strips of smoked 
salmon. Sprinkle the black pepper, capers and dill on the smoked 
salmon evenly.
2. Spread the shredded spinach and the onions out on top of
everything evenly so it is covered with the ingredients. Start at the
bottom of the tortilla and roll it up tightly all the way.
3. Use a knife to cut the burrito rollup in sections about 2 inches (5
centimeters) thick. Each section should look like a pinwheel from
the side if you rolled it correctly.
4. Transfer the pinwheels to a plate, serve and enjoy!","M A K E S  1  S E R V I N G
60g (~2 oz) cold smoked salmon
1 low-carb tortilla wrap (Mission 
Carb Balance Tortilla, 70 calories)
50g frozen spinach, thawed and 
drained 
30g red onion, shaved
10g capers 
15g low-fat cream cheese (35 
calories)
½ tsp black pepper
Optional:
2 tsp fresh dill, chopped",5,10
70,"1. Heat a non-stick pan over medium/low heat. Spray with cooking
spray for one second.
2. Pour egg mixture on pan.
3. Place bread slices on the pan for 15 seconds then flip.
4. Cook for a few minutes until the egg mixture is cooked. You can
cover the pan to cook evenly or flip egg whites while cooking until
desired readiness.
5. Fold the egg mixture onto the bread slices and place a slice of
cheese on top of each slice (add salt & pepper if desired)
6. Place bread slices on top of each other, allowing the cheese to
melt inside the sandwich.
7. Turn off the heat, and place the sandwich onto a plate. Eat
immediately with a fork with no sugar-added ketchup if desired.
THIS IS ONE SITUATION WHERE YOU NEED TO PICK THE FORK
UP!!","M A K E S  1  S A N D W I C H
480g (2 cups) egg whites
2 slices regular ass bread (160 
calories)
2 slices fat-free cheese OR 38g fat-
free shredded cheese (60 calories)
Salt & pepper to taste
Cooking spray
Optional: 
45g (3 tbsp) sugar-free ketchup (add 
30 calories) OR condiment of choice",5,10
71,"1. Whisk the eggs and egg whites in a bowl until the mixture is
fluffy.
2. Heat a non-stick pan over medium/low heat. Spray with cooking
spray for one second.
3. Pour egg mixture on pan.
4. Place bread slices on the pan for 15 seconds then flip.
5. Cook for a few minutes until the egg mixture is cooked.
Flip again and cook until the egg is cooked. Then, fold any
remaining egg mixture onto the bread slices, and place cheese
on top of each slice of bread.
6. Place the triple-stack sandwich onto a plate and eat with a fork
and knife, and any condiments you desire.","M A K E S  1  S A N D W I C H
375g (1½ cups) egg whites
2 whole eggs
3 slices regular ass bread (240 
calories)
3 slices (or 57g shredded) fat-free 
cheese (60 calories)
Salt & pepper to taste
Cooking spray
Optional: 
45g (3 tbsp) sugar-free ketchup (add 
30 calories) OR condiment of choice",5,10
72,"1. Heat a griddle over low heat, and add low-calorie butter to pan.
2. Add 2 slices of bread to the pan and add cheese on top.
3. Eat as a closed sandwich or as two open face sides, whichever
you prefer.","M A K E S  1  S A N D W I C H
2 slices ICON Meals protein bread  
or high-protein bread of choice (140 
calories per slice)
2 slices OR 38g shredded fat-free 
cheese (60 calories)
9g Becel 50% less fat butter",5,10
73,"1. Heat a griddle over low heat, and add low-calorie butter to pan.
2. Add 2 slices of bread to the pan and add ham and cheese on top.
3. Eat as a closed sandwich or as two open face sides, whichever
you prefer.","M A K E S  1  S A N D W I C H
2 slices ICON Meals protein bread  
or high-protein bread of choice (140 
calories per slice)
2 slices OR 38g shredded fat-free 
cheese (60 calories)
9g Becel 50% less fat butter
2 thin slices of ham (40 calories)",5,10
74,"1. Heat a pan to medium heat. Cook the turkey meat until it
fully cooks through. Remove from the pan and drain in a
colander/strainer.
2. Add in the onions, garlic, mushrooms and pepper. Cook and
stir for 5 minutes or until thoroughly mixed with the meat.
3. Add in the Sloppy Joe Seasoning and the tomato sauce. Mix
with a spoon and reduce heat to low.
4. Place one serving (two slices of bread...toasted if you like it
crispy!) on a plate and spread ¾ cup (180ml) of the Sloppy
Greg mixture on top of bread.
5. Optional: Add a fat-free cheese slice on top of the Sloppy
Greg sandwich (adds 30 calories per serving).","M A K E S  4  S E R V I N G S
450g (16 oz) extra lean ground turkey 
or extra lean meat of choice (measured 
raw)
8 slices regular ass bread/bun 
1 packet Sloppy Joe Seasoning
1 jar/can 650-680ml of tomato sauce
6g (2 tsp) guar/xanthan gum
2 servings (200 calories) Veggies of 
Choice OR what I use:
250g red/yellow/orange bell pepper
225g mushrooms
250g onion 
2 tsp garlic (4 garlic cloves)
Sloppy Greg Sandwich",10,25
75,"1. Heat a pan to medium heat. Lightly spray with cooking spray.
Warm the veggie meat in the pan until it is thawed.
2. Add in the onions, garlic, mushrooms and pepper
3. Cook and stir for 5 minutes or until thoroughly mixed with the
meat
4. Add tomato sauce, ketchup and tomato paste.
5. Add Sloppy Joe Seasoning mix and reduce heat to low.
6. Let simmer for 10 minutes
7. Place two slices of bread on a plate and spread ¾ cup (180ml) of
the Sloppy Greg mixture on top of the bread.","M A K E S  4  S E R V I N G S
454g (16 oz) ground veggie meat 
(Gardein or Yves) (495 calories)
8 slices regular ass bread
1 packet of Sloppy Joe seasoning
150g (5 oz) can of tomato paste
125g (½ cup) no sugar-added 
ketchup
250g (1 cup) of tomato sauce
2 servings (200 calories) Veggies of 
Choice OR what I use:
250g red/yellow/orange bell pepper
225g mushrooms
250g onion 
Veggie Sloppy Greg
Sandwich",15,25
76,"1. Heat up the meatballs in the microwave according to
the directions on the package.
2. Toast the bread slices in a toaster oven or toaster.
3. Build the sandwich with the meatballs, lettuce, tomato
& onion (or veggies of choice). Top with low-calorie
condiments such as mustard, horseradish, or sugar-free
ketchup according to your taste preferences.","M A K E S  1  S A N D W I C H 
2 slices ICON Meals protein bread  or high-
protein bread of choice (140 calories per 
slice)
4 veggie meatballs (up to 120 calories)
Vegetables of choice (15 calories)
Recommended to top with lettuce, tomato, 
& onion
Condiments of choice (examples: mustard, 
horseradish, sugar-free ketchup)",,10
77,"1. Toast the bread slices in a toaster oven or toaster.
2. Lay the bread slices flat and spread mayonnaise. Optionally add
additional low-calorie condiments such as mustard or horseradish
according to your taste preferences.
3. Build the sandwich with the remaining ingredients. Slice in half
and serve.","M A K E S  1  H O T  D O G
1½ weiners of veggie tofu dogs (70 
calories)
1 slice regular ass bread (80 
calories)
1 tbsp yellow mustard
1 tbsp ketchup",,10
78,"1. Place the bread in the toaster until cooked to a light golden
brown.
2. Lay the toast flat on a plate and spread the mayonnaise on the
bread.
3. Place the chicken or tuna on top of the bread, and then lettuce
and tomato.
4. Top with the 2nd layer of bread. Serve and enjoy.","M A K E S  1  S A N D W I C H
2 slices ICON Meals protein bread  
or high-protein bread of choice (140 
calories per slice)
Sliced tomato (up to 20 calories)
Lettuce (up to 10 calories)
4 thin slices of chicken OR ½ can of 
water-packed tuna (65 calories)
14g (1 tbsp) light mayonnaise (up to 
30 calories)",3,5
79,"1. Toast bread slices in the toaster until they have a light brown crisp.
2. Mix powdered peanut butter in a bowl with 1 tbsp water (or more
or less depending on desired thickness), and stir until an even
consistency is achieved.
3. Spread powdered peanut butter mixture on the bread slices. Then
add low-calorie jam. Eat as a closed sandwich or as two open face
sides, whichever you prefer. Enjoy!","M A K E S  1  S A N D W I C H
2 slices ICON Meals protein bread  
or high-protein bread of choice (140 
calories per slice)
20g (~2 tbsp) low-calorie jam (up to 
40 calories)
18g (3 tbsp) powdered peanut 
butter (PB2)
15ml (1 tbsp) water",,5
80,"1. Toast bread slices in the toaster until it has a light brown crisp.
2. Mix powdered peanut butter in a bowl with 1 tbsp water (or more
or less depending on desired thickness), and stir until an even
consistency is achieved.
3. Spread the peanutty mixture on the bread slices. Then add sliced
banana. Eat as a closed sandwich or as two open face sides,
whichever you prefer. Enjoy!",,,3
81,"1. Toast the bread slices in a toaster oven or toaster.
2. Lay the bread slices flat and spread mayonnaise. 
Optionally add additional low-calorie condiments such 
as mustard or horseradish according to your taste 
preferences.
3. Build the sandwich with the remaining ingredients. Slice 
in half and serve.","M A K E S  1  S A N D W I C H 
2 slices regular ass bread (160 calories)
4 slices veggie bologna (80 calories)
1 fat-free cheese slice or 19g shredded 
fat-free cheese (30 calories)
Vegetables of choice (15 calories)
Recommended to top with lettuce, 
tomato, & onion
Condiments of choice (30 calories)
Mustard, horseradish, sugar-free ketchup, 
light mayonnaise, etc.",,10
85,"1. In a bowl, mix together the mango, pineapple, cilantro and 
onion. Place in the fridge or to the side until you are ready 
for it.
2. In a separate bowl, mix together the red and green 
cabbage, carrots, rice wine vinegar, ½ tsp salt and ½ tsp 
pepper. Set to the side.
3. Season the chicken with salt and pepper and place on the 
grill. Cook over medium high heat for 3-5 minutes on each 
side or until the chicken is fully cooked. Remove the chicken 
from the grill and cut into 1-inch strips.
4. Begin to build the wraps with the grilled chicken, slaw and 
mango relish. Serve and enjoy!","M A K E S  2  W R A P S
110g (4 oz) chicken breast, boneless and 
skinless (raw)
2 low-carb tortilla wraps (La Tortilla 
brand - 110 calories each, 220 calories 
total)
55g green cabbage, shredded
55g red cabbage, shredded
60g carrots, julienned/cut into thin strips
60g mango, diced
30g pineapple, diced
15g red onion, diced
1 tbsp cilantro, chopped
1 tbsp rice wine vinegar
Salt and pepper
Grilled Chicken Wrap 
with Mango Relish
D I F F I C U L T Y
MEDIUM",10,15
86,"Directions for slaw salad
1. Shred the cabbage into long thin strips and put into a large 
mixing bowl.
2. Cut the green onion, red onion and minced garlic, add it into the 
cabbage bowl and toss to mix.
3. Add in the Greek yogurt and give it a stir. 
4. Pour lime juice, salt and pepper into the coleslaw mix, stir well 
and set aside.
Directions for Fish
5. In a bowl, mix all the desired seasonings (salt, pepper, cumin and 
coriander) to taste. Place the haddock in the bowl and toss until  
both sides are fully coated with seasoning.
6. Place fish on a skillet on medium heat, only flip when the sides are 
turning white, flip the fish and cook for a few more minutes.
7. Build your taco: in the center of the tortilla from one end to the 
other, place the slaw salad cover with pieces of the haddock and 
put tomato over the fish.","M A K E S  4  T A C O S
Ingredients for the slaw salad
200g (2 cups) purple cabbage
85g (⅓ cup) 0% fat Greek yogurt
4 Mission or Mama Lupe’s Tortillas 
(70 calories each) 
15g green onion 
15g red onion
100g tomato
Juice of 1 lime
1 clove of garlic
Salt and pepper to taste
Ingredients for the Fish
200g (7 oz) Haddock RAW / 150g 
Haddock COOKED
Salt, pepper, cumin and coriander 
to taste",10,30
88,,"M A K E S  4  S A N D W I C H E S  ( 1 
S E R V I N G )
4 original or lightly salted rice cakes
8 slices (140g/5 oz) of oven-roasted 
turkey or chicken deli meat of choice
30g (2 tbsp) low-fat or fat-free 
mayonnaise (up to 70 calories)
10g (2 tsp) Sriracha
30g (2 tbsp) dijon mustard
Salt and Pepper to taste
Veggies of your choice (up to 10 
calories total)
Tomato, red onion, spinach, lettuce",3,5
89,,"M A K E S  4  S A N D W I C H E S  ( 1 
S E R V I N G )
4 original or lightly salted rice cakes
100g chicken breast (measured raw) 
(130 calories)
30g (2 tbsp) low-fat or fat-free 
mayonnaise (up to 70 calories)
15g (1 tbsp) Sriracha
15g (1 tbsp) dijon mustard
Salt and Pepper to taste
Veggies of your choice (up to 10 
calories total)
Tomato, red onion, spinach, lettuce",20,30
90,"1. Lay 1 slice of veggie meat on top of the rice cake.
2. Add the Dijon mustard on top of the veggie meat.
3. Top with all the veggies of your choice.
4. Lay the second slice of veggie meat and top with lettuce and eat.",,,5
91,"1. Set the rice cake on a plate. Spread the cream cheese on the rice 
cake.
2. Place the smoked salmon on top of the cream cheese.
3. Add veggies of your choice. Top with lettuce and enjoy.",,5,
92,"1. Make the tuna salad. Drain the tuna and place in a bowl with 
the red onion, light mayonnaise, dijon mustard, diced pickles, 
and pepper. Mix with a fork until there is a creamy consistency.
2. Lay out the rice cakes and spread the tuna salad on top of the 
rice cakes.
3. Add the remaining veggies on top of the tuna salad. Top with 
lettuce and eat as an open-faced sandwich.",,5,
95,"1. OPTIONAL: Prep cauliflower rice (either see the recipe in this 
book on page 124 or purchase pre-cooked cauliflower rice.)
2. Pre-heat the oven to 400°F/204°C.
3. In a bowl mix flour, guar/xanthan gum, garlic powder, salt, 
oregano, and basil.
4. Add in the Greek yogurt and fold together to form a ball.
5. In another bowl combine cooked cauliflower rice and egg whites. 
Mix well.
6. Add the cauliflower mixture to the flour mixture and mix well. You 
can use your hands or a hand blender.  
7. Let stand at room temperature for 20 minutes.
8. Divide the mixture into six 150g portions.
9. Cover a baking sheet with parchment paper and spread the 
mixture into a ‘circle’.
10. Bake at 400°F/204°C for 30-35 minutes or until lightly browned.
11. Remove from the oven and let cool for a few minutes.","M A K E S  4  C R U S T S
100g (~7/8 cup) self-raising flour 
700g (3 cups) of cooked 
cauliflower rice
180g (¾ cup) egg whites
250g (1 cup) 0% fat Greek yogurt
9g (1 tbsp) guar/xanthan gum
1 tsp garlic powder
¼ tsp Kosher salt
½ tsp oregano
½ tsp basil",10,45
96,"1. OPTIONAL: Prep cauliflower rice (either see the recipe in this 
book on page 124 or purchase pre-cooked cauliflower rice.)
2. Pre-heat oven to 400°F/204°C.
3. In a bowl mix dry ingredients (flour, guar gum/xanthan, garlic 
powder, salt, oregano, and basil).
4. Add in the Greek yogurt and fold together to form a ball.
5. In another bowl combine cooked cauliflower rice and egg whites. 
Mix well.
6. Add the cauliflower mixture to the flour mixture and mix well. You 
can use your hands or a hand blender.  
7. Let stand at room temperature for 20 minutes.
8. Lay the Crepini wraps on parchment paper and spread the mixture 
over the wrap. 
9. Divide the mixture into 4 equal amounts
10. Bake at 400°F/204°C for 30-35 minutes or until lightly browned.
11. Take out of the oven and let cool for a few minutes.","M A K E S  4  C R U S T S
120g self-rising flour 
4 Crepini wraps or equivalent 
egg white wrap of choice (30 
calories each)
700g (3 cups) of cooked 
cauliflower rice
120g (½ cup) egg whites
225g (~1 cup) 0% fat Greek 
yogurt
9g (1 tbsp) guar/xanthan gum
1 tsp garlic powder
¼ tsp Kosher salt
½ tsp oregano
½ tsp basil",10,45
97,"1. Heat a frying pan over medium heat. Add cooking spray and 
sauté onions, mushrooms, and peppers until fully cooked 
through. Add ground bison and sauté until fully cooked.
2. Toast the pizza crusts on a baking sheet in the oven or toaster 
oven at 350°F (177°C) for 3 minutes. Remove from the oven 
and let sit for a few minutes.
3. Add all ingredients to the flatbread except for the cheese. 
Place in oven for another 3 minutes.
4. Place the cheese slices on the pizzas and place in the oven 
for 3 minutes. Remove from the oven and enjoy the melted 
deliciousness.","M A K E S  2  M I N I  P I Z Z A S
2 “Flatout” Rustic White Artisan Thin 
Pizza Crust or 2 thin pizza crusts of 
choice (260 calories)
2 slices OR 38g fat-free cheese (60 
calories)
100g ground bison (measured 
cooked)
125g (½ cup) low-fat pizza sauce (up 
to 50 calories)
Toppings of choice (up to 50 calories): 
Peppers, onions, mushrooms, spinach
Cooking spray
Spices (to taste)",10,20
98,"1. Heat a frying pan over medium heat. Add cooking spray and 
sauté onions, mushrooms, and peppers until fully cooked through. 
Add ground bison and sauté until fully cooked.
2. Toast “Golden Home” Ultra Thin Pizza Crusts at 350°F (177°C) on 
a baking sheet for 3 minutes. Remove from oven and let sit for a 
few minutes.
3. Add all ingredients to the flatbread except for the cheese. Place 
in oven for another 3 minutes.
4. Place the cheese slices on the pizzas and place in the oven 
for 3 minutes. Remove from the oven and enjoy the melted 
deliciousness.","M A K E S  1  M I N I  P I Z Z A
1 “Golden Home” Ultra Thin 
Protein pizza crust (130 calories)
1 slice OR 19g shredded fat-free 
cheese (30 calories)
35g extra lean ground beef 
(measured cooked)
70g (¼ cup) pizza sauce (25 calories)
Toppings of choice: 
peppers / onions / mushrooms / 
spinach",10,20
100,"1. Pre-heat the oven to 400°F (204°C).
2. Sauté garlic and onions on a pan over medium-high heat until 
golden brown.
3. Remove the onions and garlic and set aside in a large bowl.
4. In the same pan, cook the lean ground turkey until fully cooked. 
When fully cooked, remove from the pan, drain/rinse out any 
excess liquid, and add to the bowl of onions & garlic.
5. Add pasta sauce to the turkey mixture and mix well.
6. In a separate bowl, mix Ricotta cheese and spinach.
7. Spray a casserole dish with cooking spray and build the lasagna. 
Spread ¼ cup of the turkey sauce on the bottom of the casserole 
dish. Place lasagna noodles over the sauce. Lay zucchini on top of 
the noodles. Spread ½ of the ricotta cheese/spinach mix on top 
of the zucchini. Spread ⅓ of the turkey pasta mix over the ricotta. 
Repeat with another layer of lasagna noodles and zucchini. Spread 
the remaining pasta sauce on top, and the place fat-free cheese 
on top of that.
8. Cover with foil (spray with cooking spray) and place in the oven. 
After 30 minutes, remove the foil and bake for another 30 minutes.
9. Let cool (20 minutes) before cutting and serving.","M A K E S  6  S E R V I N G S
2 cans (28 oz) Palmini low carb 
lasagna
8 slices fat-free cheese (or 152g 
shredded fat-free cheese) (240 
calories)
500g frozen spinach, thawed and 
drained
250g zucchini, sliced lengthwise
455g low-fat ricotta cheese 
455g 93% lean ground turkey/
chicken (measured raw)
1000g (4 cups) of flavoured pasta 
sauce of choice (up to 50 calories 
per 125g)
125g onion, diced
2 tsp minced garlic or 2 garlic 
cloves, minced
80ml (⅓ cup) water
Anabolic Meat Lasagna - Light
D I F F I C U L T Y
HARDER THAN LAST TIME",30,90
101,"1. Pre-heat the oven to 400°F (204°C).
2. Cook the lasagna according to package instructions, and set aside.
3. Sauté garlic and onions on a pan over medium-high heat until 
golden brown.
4. Remove the onions and garlic and set aside in a large bowl.
5. In the same pan, cook the lean ground turkey until fully cooked. 
When fully cooked, remove from the pan, drain/rinse out any 
excess liquid, and add to the bowl of onions & garlic.
6. Add pasta sauce to the turkey mixture and mix well.
7. In a separate bowl, mix Ricotta cheese and spinach.
8. Spray a casserole dish with cooking spray and build the lasagna. 
Spread ¼ cup of the turkey sauce on the bottom of the casserole 
dish. Place lasagna noodles over the sauce. Lay zucchini on top of 
the noodles. Spread ½ of the ricotta cheese/spinach mix on top 
of the zucchini. Spread ⅓ of the turkey pasta mix over the ricotta. 
Repeat with another layer of lasagna noodles and zucchini. Spread 
the remaining pasta sauce on top, and the place fat-free cheese 
on top of that.
9. Cover with foil (spray with cooking spray) and place in the oven. 
After 30 minutes, remove the foil and bake for another 30 minutes.
10. Let cool (20 minutes) before cutting and serving.","M A K E S  6  S E R V I N G S
9 regular ass lasagna sheets
8 slices fat-free cheese (or 152g 
shredded fat-free cheese) (240 
calories)
500g frozen spinach, thawed and 
drained
250g zucchini, sliced lengthwise
455g low-fat ricotta cheese 
455g 93% lean ground turkey/
chicken (measured raw)
1000g (4 cups) of flavoured pasta 
sauce of choice (up to 50 calories 
per 125g)
125g onion, diced
2 tsp minced garlic or 2 garlic 
cloves, minced
80ml (⅓ cup) water
Anabolic Meat Lasagna
D I F F I C U L T Y
HARDER THAN LAST TIME",30,90
102,"1. Pre-heat the oven to 400°F (204°C).
2. Sauté garlic and onions on a pan over medium-high heat until 
golden brown.
3. Remove the onions and garlic and place in a large bowl.
4. In the same pan, cook the lean ground “meat” until fully cooked. 
When fully cooked, remove from the pan, drain/rinse out any 
excess liquid, and add the the bowl with onion & garlic.
5. Add pasta sauce to the ground round mixture and mix well.
6. In a separate bowl mix the cottage cheese and spinach.
7. Spray a casserole dish with cooking spray and build the lasagna. 
Spread ¼ cup of the “meat” sauce on the bottom of the casserole 
dish. Place lasagna noodles over the sauce. Lay zucchini on top of 
the noodles. Spread ½ of the ricotta cheese/spinach mix on top 
of the zucchini. Spread ⅓ of the turkey pasta mix over the ricotta. 
Repeat with another layer of lasagna noodles and zucchini. Spread 
the remaining pasta sauce on top, and the place fat-free cheese 
on top of that.
8. Cover with foil (spray with cooking spray) and place in the oven. 
After 30 minutes, remove the foil and bake for another 30 minutes.
9. Let cool (20 minutes) before cutting and serving.","M A K E S  6  S E R V I N G S
2 cans (28 oz) Palmini low carb 
lasagna sheets
8 slices fat-free cheese (or 152g 
shredded fat-free cheese) (240 
calories)
500g frozen spinach, thawed and 
drained
250g zucchini, sliced lengthwise
500g 0% fat cottage cheese
330g Yves Veggie Ground Round 
(or equivalent veggie ground beef 
of choice up to 330 calories)
1000g (4 cups) of flavoured pasta 
sauce of choice (up to 50 calories 
per 125g [½ cup])
125g onion, diced
2 garlic cloves, minced
80ml (⅓ cup) water
Anabolic Veggie Lasagna - Light
D I F F I C U L T Y
HARDER THAN LAST TIME",30,90
